split,scope,user_split,repeat_type,events,eligible_events,hits,rate,eligible_rate,avg_tag_jaccard
dev_test,combined,test_cold,album,1600,1500,451,0.281875,0.3006666666666667,0.07145255779413498
dev_test,combined,test_cold,artist,1600,1500,668,0.4175,0.44533333333333336,0.07145255779413498
dev_test,combined,test_cold,exact,1600,1500,51,0.031875,0.034,0.07145255779413498
dev_test,combined,test_cold,tag,1600,1500,1464,0.915,0.976,0.07145255779413498
dev_test,combined,test_warm,album,6400,6000,2196,0.343125,0.366,0.07353524392475003
dev_test,combined,test_warm,artist,6400,6000,3046,0.4759375,0.5076666666666667,0.07353524392475003
dev_test,combined,test_warm,exact,6400,6000,229,0.03578125,0.03816666666666667,0.07353524392475003
dev_test,combined,test_warm,tag,6400,6000,5828,0.910625,0.9713333333333334,0.07353524392475003
dev_test,session,test_cold,album,1600,1400,377,0.235625,0.2692857142857143,0.09824513252808656
dev_test,session,test_cold,artist,1600,1400,572,0.3575,0.4085714285714286,0.09824513252808656
dev_test,session,test_cold,exact,1600,1400,0,0.0,0.0,0.09824513252808656
dev_test,session,test_cold,tag,1600,1400,1351,0.844375,0.965,0.09824513252808656
dev_test,session,test_warm,album,6400,5600,1881,0.29390625,0.33589285714285716,0.10413249558648846
dev_test,session,test_warm,artist,6400,5600,2651,0.41421875,0.4733928571428571,0.10413249558648846
dev_test,session,test_warm,exact,6400,5600,0,0.0,0.0,0.10413249558648846
dev_test,session,test_warm,tag,6400,5600,5404,0.844375,0.965,0.10413249558648846
dev_test,user,test_cold,album,1600,800,117,0.073125,0.14625,0.022618332455794036
dev_test,user,test_cold,artist,1600,800,192,0.12,0.24,0.022618332455794036
dev_test,user,test_cold,exact,1600,800,51,0.031875,0.06375,0.022618332455794036
dev_test,user,test_cold,tag,1600,800,757,0.473125,0.94625,0.022618332455794036
dev_test,user,test_warm,album,6400,3200,559,0.08734375,0.1746875,0.020076371727083285
dev_test,user,test_warm,artist,6400,3200,819,0.12796875,0.2559375,0.020076371727083285
dev_test,user,test_warm,exact,6400,3200,229,0.03578125,0.0715625,0.020076371727083285
dev_test,user,test_warm,tag,6400,3200,3034,0.4740625,0.948125,0.020076371727083285
train,combined,train_warm,album,121592,113001,57813,0.4754671359957892,0.5116149414606951,0.09546509930814887
train,combined,train_warm,artist,121592,113001,74613,0.6136341206658332,0.6602861921575915,0.09546509930814887
train,combined,train_warm,exact,121592,113001,5718,0.04702612013948286,0.050601322112193696,0.09546509930814887
train,combined,train_warm,tag,121592,113001,111826,0.9196822159352589,0.9896018619304254,0.09546509930814887
train,session,train_warm,album,121592,106393,52154,0.4289262451477071,0.49020142302595093,0.12688341204236936
train,session,train_warm,artist,121592,106393,69166,0.5688367655766827,0.6500991606590659,0.12688341204236936
train,session,train_warm,exact,121592,106393,0,0.0,0.0,0.12688341204236936
train,session,train_warm,tag,121592,106393,104952,0.8631488913744325,0.9864558758564943,0.12688341204236936
train,user,train_warm,album,121592,52864,11667,0.09595203631817882,0.22069839588377724,0.021092833934847063
train,user,train_warm,artist,121592,52864,15992,0.1315218106454372,0.30251210653753025,0.021092833934847063
train,user,train_warm,exact,121592,52864,5718,0.04702612013948286,0.10816434624697337,0.021092833934847063
train,user,train_warm,tag,121592,52864,50820,0.41795512862688333,0.9613347457627118,0.021092833934847063
