turn_number,track_id,count
1,407bbe04-ff88-4dfe-8114-10a95b523592,32
1,ffc14c3d-21b1-4938-b58e-28c21c4d39a3,32
1,cc7f6b0d-3ea4-449f-909f-7788ba58dfc0,28
1,9571eead-47df-4f38-afbf-056848907725,27
1,6e1fff57-afac-41d7-961c-1ff317c14b21,25
1,c2bb5073-7ec4-4b3f-adaf-9162b641dae9,24
1,2fa49377-6623-4cbd-b02a-25ea5e78bbd1,23
1,2f8ab8da-6aab-4dd0-a033-ae740f543499,22
1,45cee4e8-28fe-47fe-9567-62bee7983cac,22
1,52a2dc35-fb46-4233-bff7-c4e688a336f3,22
1,e242389b-17fd-449a-aabd-6596119bce17,21
1,0a8fe1bc-d7f6-4d69-8079-df06e892edfa,20
1,1d4a4644-2e4c-4b11-b313-ff45925094b9,20
1,7e216e64-ca52-4624-b458-a88a7db7380e,20
1,267717bb-31ff-457a-90ec-75026734d29d,19
1,310649e4-ac64-4f51-8c1c-f898b68c3c7f,19
1,ade4ee37-8674-4999-93af-989f53c7286a,19
1,b0877519-e4c4-4b9e-b6bd-911b9d60a521,19
1,e9383e0c-5bad-4b9c-b146-917f2e3dfba1,19
1,f11b18e9-63c5-4320-a468-678cf52b17ea,19
2,407bbe04-ff88-4dfe-8114-10a95b523592,32
2,ffc14c3d-21b1-4938-b58e-28c21c4d39a3,23
2,bfae69c6-9627-4829-b673-718b1065ee32,22
2,f11b18e9-63c5-4320-a468-678cf52b17ea,20
2,1d4a4644-2e4c-4b11-b313-ff45925094b9,19
2,b8891115-5b45-4074-aec0-858ef3752a11,19
2,bd4935bc-d00c-43a4-a7c9-a3e799565661,19
2,b46e5c08-33fa-404b-9fa5-20ea9cc804d7,18
2,b53c645e-dcbf-48cc-98b6-9b852359c117,18
2,267717bb-31ff-457a-90ec-75026734d29d,17
2,fd777591-2c63-40af-bb62-ee2c9899baaa,17
2,7e216e64-ca52-4624-b458-a88a7db7380e,16
2,0fec83bd-511e-461c-89bd-4f4d6f4d25d1,14
2,17ff32c4-b2f3-41d7-9957-245b49ad9ec2,14
2,2b837267-c128-4b12-9921-e6485353cc4e,14
2,00365010-4325-4710-9249-47c6d5ca002d,13
2,0eca34b9-f12f-49c2-b28c-e8b0fdba6a56,13
2,28a4bc40-4151-480b-b11d-7cbbc1cad868,13
2,2cc30349-656b-4d94-a947-bac58db62bf8,13
2,2fa49377-6623-4cbd-b02a-25ea5e78bbd1,13
3,407bbe04-ff88-4dfe-8114-10a95b523592,21
3,c2bb5073-7ec4-4b3f-adaf-9162b641dae9,19
3,7e3e05b7-9504-4131-999b-0408bb8fb88a,16
3,b8891115-5b45-4074-aec0-858ef3752a11,16
3,bd4935bc-d00c-43a4-a7c9-a3e799565661,15
3,2f8ab8da-6aab-4dd0-a033-ae740f543499,14
3,0098b9e2-531b-4d6f-a90f-1c5b62f0374a,13
3,07efb7be-7b0f-49f3-888f-792925854b6a,13
3,17ff32c4-b2f3-41d7-9957-245b49ad9ec2,13
3,52a2dc35-fb46-4233-bff7-c4e688a336f3,13
3,bfae69c6-9627-4829-b673-718b1065ee32,13
3,39627c83-406d-411a-b89d-7eb69ac52686,12
3,efe00a08-aa7e-4e5e-8aa3-fe75b23344c6,12
3,ffc14c3d-21b1-4938-b58e-28c21c4d39a3,12
3,0c73d582-f0f1-40a3-94b1-016ba1180a13,11
3,0eca34b9-f12f-49c2-b28c-e8b0fdba6a56,11
3,6c887aa6-c73e-4c66-97f4-970e3a746e91,11
3,7140cc97-1681-49f7-99ce-f4e3c2e4865e,11
3,847bec30-2d1a-4e3f-abf7-19e6e234572c,11
3,8f2a7f9b-3f7f-4bfe-b733-dc2b6a06fc33,11
4,9571eead-47df-4f38-afbf-056848907725,13
4,3b08891f-8ba3-4d9b-b0ab-4f9afa5b58dd,12
4,3dd9e229-b749-4e68-8894-fe41f7361a76,12
4,2f8ab8da-6aab-4dd0-a033-ae740f543499,11
