split,scope,repeat_type,events,eligible_events,hits,rate,eligible_rate,avg_tag_jaccard
dev_test,combined,album,8000,7500,2647,0.330875,0.3529333333333333,0.07311870669862702
dev_test,combined,artist,8000,7500,3714,0.46425,0.4952,0.07311870669862702
dev_test,combined,exact,8000,7500,280,0.035,0.037333333333333336,0.07311870669862702
dev_test,combined,tag,8000,7500,7292,0.9115,0.9722666666666666,0.07311870669862702
dev_test,session,album,8000,7000,2258,0.28225,0.32257142857142856,0.10295502297480807
dev_test,session,artist,8000,7000,3223,0.402875,0.4604285714285714,0.10295502297480807
dev_test,session,exact,8000,7000,0,0.0,0.0,0.10295502297480807
dev_test,session,tag,8000,7000,6755,0.844375,0.965,0.10295502297480807
dev_test,user,album,8000,4000,676,0.0845,0.169,0.020584763872825432
dev_test,user,artist,8000,4000,1011,0.126375,0.25275,0.020584763872825432
dev_test,user,exact,8000,4000,280,0.035,0.07,0.020584763872825432
dev_test,user,tag,8000,4000,3791,0.473875,0.94775,0.020584763872825432
train,combined,album,121592,113001,57813,0.4754671359957892,0.5116149414606951,0.09546509930814887
train,combined,artist,121592,113001,74613,0.6136341206658332,0.6602861921575915,0.09546509930814887
train,combined,exact,121592,113001,5718,0.04702612013948286,0.050601322112193696,0.09546509930814887
train,combined,tag,121592,113001,111826,0.9196822159352589,0.9896018619304254,0.09546509930814887
train,session,album,121592,106393,52154,0.4289262451477071,0.49020142302595093,0.12688341204236936
train,session,artist,121592,106393,69166,0.5688367655766827,0.6500991606590659,0.12688341204236936
train,session,exact,121592,106393,0,0.0,0.0,0.12688341204236936
train,session,tag,121592,106393,104952,0.8631488913744325,0.9864558758564943,0.12688341204236936
train,user,album,121592,52864,11667,0.09595203631817882,0.22069839588377724,0.021092833934847063
train,user,artist,121592,52864,15992,0.1315218106454372,0.30251210653753025,0.021092833934847063
train,user,exact,121592,52864,5718,0.04702612013948286,0.10816434624697337,0.021092833934847063
train,user,tag,121592,52864,50820,0.41795512862688333,0.9613347457627118,0.021092833934847063
