goal_category,track_id,count
A,bc574b94-ae6b-4290-84b0-ca933493eb8c,11
A,45cee4e8-28fe-47fe-9567-62bee7983cac,9
A,6c887aa6-c73e-4c66-97f4-970e3a746e91,9
A,7e3e05b7-9504-4131-999b-0408bb8fb88a,9
A,bd8a24ed-e4b6-481b-829d-c8f638052b37,9
A,c4060aca-c8bc-4a66-992b-3bba5ba80a92,9
A,fd777591-2c63-40af-bb62-ee2c9899baaa,9
A,34320479-c3f1-4c83-8975-4896525762c9,8
A,40ab15f8-1c19-49bd-ad24-3eda80dc9e47,8
A,8f2a7f9b-3f7f-4bfe-b733-dc2b6a06fc33,8
A,9a12b301-f599-438b-a5da-4b38146157dd,8
A,ade4ee37-8674-4999-93af-989f53c7286a,8
A,b8891115-5b45-4074-aec0-858ef3752a11,8
A,efd6fa72-8eae-4ada-b7fc-207c52d88903,8
A,00365010-4325-4710-9249-47c6d5ca002d,7
A,2e0cad9b-6c1c-41ed-8e16-eae0d8c31a83,7
A,2f8ab8da-6aab-4dd0-a033-ae740f543499,7
A,3bd13b1d-ee9e-46e5-92ca-a8f039226674,7
A,407bbe04-ff88-4dfe-8114-10a95b523592,7
A,42b5ca00-f8d9-4e76-9d56-53f00172f89e,7
B,407bbe04-ff88-4dfe-8114-10a95b523592,21
B,b8891115-5b45-4074-aec0-858ef3752a11,19
B,9571eead-47df-4f38-afbf-056848907725,18
B,1d4a4644-2e4c-4b11-b313-ff45925094b9,17
B,ffc14c3d-21b1-4938-b58e-28c21c4d39a3,15
B,6e1fff57-afac-41d7-961c-1ff317c14b21,13
B,7140cc97-1681-49f7-99ce-f4e3c2e4865e,13
B,32b8b34b-c76c-4786-af4f-10ced40794c6,12
B,bfae69c6-9627-4829-b673-718b1065ee32,12
B,cc7f6b0d-3ea4-449f-909f-7788ba58dfc0,12
B,fd777591-2c63-40af-bb62-ee2c9899baaa,12
B,3b08891f-8ba3-4d9b-b0ab-4f9afa5b58dd,11
B,7f8c4cea-e049-4a4b-8d42-0cc4b8de9fe9,11
B,efe00a08-aa7e-4e5e-8aa3-fe75b23344c6,11
B,07efb7be-7b0f-49f3-888f-792925854b6a,10
B,19385f74-d243-4aba-b385-a48cd40d207f,10
B,2fa49377-6623-4cbd-b02a-25ea5e78bbd1,10
B,900b528f-5f30-4dec-b865-cfd39db82c0b,10
B,b46e5c08-33fa-404b-9fa5-20ea9cc804d7,10
B,b636066b-4a53-4c56-96f5-79aa82cc5836,10
C,267717bb-31ff-457a-90ec-75026734d29d,10
C,3bd13b1d-ee9e-46e5-92ca-a8f039226674,10
C,b87391bb-0e53-4333-83eb-19d5b9662599,10
C,ec6ffbf5-66b3-4cfd-bd5f-2ce2b2763dce,10
