annotation_id,session_id,turn_number,sample_stratum,population_n,sample_n,sample_weight,pivot_broad_discovery,pivot_artist_explicit,pivot_core_change,moves,previous_same_cumulative,current_same_cumulative,high_conflict,context_before_current_sha256,current_user_message_sha256,sample_seed,conversation_dataset_name,conversation_dataset_fingerprint,metadata_dataset_name,metadata_dataset_fingerprint,detector_rule_sha256,guideline_version
PIVOT-0001,caa004f2-8de9-4559-a086-3741a5e92783,3,broad_positive_other,6083,50,121.66,True,True,False,1,True,True,False,8dfcda396146e1ae0a57f3218f0434e89ad89d29f8b785e95c35fbe6b1dfbabf,c6a2d064ddf389111ad36034b17c3b48c832ab1d6ad43fc08e2f070c3af89daf,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0002,84b2f4e6-e540-4931-9a64-5a16ec969170,6,broad_positive_high_conflict,4899,50,97.98,True,True,False,0,True,True,True,85e8ec964211fb08f7ebec98a7fa176407cb464305cbfb9c60130a7eda58e551,00ccdbb8c4525d2326854234e207439460d46a41b86d3b75f9f8fdb308b7a2cb,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0003,61b5e898-35b6-4af4-a910-0b953cef9be5,6,broad_positive_high_conflict,4899,50,97.98,True,True,False,0,True,True,True,1ae2bd9439222889b8151638df22d3cbfeb9fd138b249d65a02579e0bdd6915b,bc8772d559e0a07ea89610f49616b2b3551c35b19cce11173c7d5813f52e27b0,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0004,62937488-f482-42ea-b8b3-8164e426edcd,2,broad_negative,95411,100,954.11,False,False,False,0,,False,False,9a49c4402fe437868df84dc41e762c1a88f04f94135092f172bfdc41695f348a,9188e0b22b25d510b8d8fffe53f5b698db5609cb896f5b387f365ce4c73da59a,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0005,033621e8-92a1-4f84-b795-dc723d6d9ce0,6,broad_positive_high_conflict,4899,50,97.98,True,True,True,0,True,True,True,9d82f50de9ccc880f7e62c8ccd78b8f839e950a28f23fa4b7217ad81a8c35048,17debe84b42813648afa87afcb71d4216eaac00e9c47267566ef10b44896384a,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0006,95c1f903-146c-44a1-9bd3-009445cc7746,7,broad_negative,95411,100,954.11,False,False,False,0,True,True,False,956ce78071be42cdc97f4c5707189821519963edd5efb77baed64fcdd78b3884,29ef28a9296ad422c2769f432b2a9e9322d40cae543e83934d3ed8cee95add4e,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0007,4c46e255-36c6-4eca-91b5-37f7806878ce,7,broad_positive_high_conflict,4899,50,97.98,True,True,True,0,True,True,True,d1b548ae5b0606eec508c6ecc3aee85250e9ccff94d74d78e0df5410ffc13972,8c102a8f71922cfd5350764d74065a5952e76ce8556ff10d7c04d27a1b4c8c24,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0008,c373aafc-d68c-4358-87f2-c963d416a76d,2,broad_negative,95411,100,954.11,False,False,False,1,,False,False,0cc541d2a468742abd7a1dcb81d6ebc9a653db59e78d57c0bbcd6f136cfae235,51666e12d4de568b200e3277923da7d660b7e1c5485ec9cca151620f3fa6c25f,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0009,9ffa0222-f0ab-4cef-b254-8d00f00f544e,2,broad_negative,95411,100,954.11,False,False,False,0,,True,False,0eac47d55d44c4a021a27d3e51eb66eb60cf1f97af7593f581d08472652515e5,690c601900e09359b30b3888ff14a95f1ebec8458715e3f18b461ecf24879f1d,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
PIVOT-0010,77971bb0-9491-4708-a769-42bf1618b4e7,8,broad_positive_other,6083,50,121.66,True,False,False,0,False,False,False,80a3fd7eda78b7c1a0134e667eec02464055963668416277fdd7ad37932ade67,ce99576adb47cccc7944d576b3f06a60a4246eab40e3790954e1893ce51303ee,20260723,talkpl-ai/TalkPlayData-Challenge-Dataset,0c9db04e7549bc35,talkpl-ai/TalkPlayData-Challenge-Track-Metadata,292f7c9ef0e88892,8551f53006f8cb7603412eec5ad707eb4b8e0a9487edcdfbf03e9e01b99c98a7,2026-07-23
